"UnrealPath","FileName","Folder","SizeMB"
"/Game/TopDownShooter/Ressources/Audio/A_Enemy_Dead_01.","A_Enemy_Dead_01.uasset","/Game/TopDownShooter/Ressources/Audio","0,243"
"/Game/TopDownShooter/Ressources/Audio/A_Enemy_Dead_02.","A_Enemy_Dead_02.uasset","/Game/TopDownShooter/Ressources/Audio","0,243"
"/Game/TopDownShooter/Ressources/Audio/A_Enemy_Dead_03.","A_Enemy_Dead_03.uasset","/Game/TopDownShooter/Ressources/Audio","0,243"
"/Game/TopDownShooter/Ressources/Audio/A_Enemy_Spawn_01.","A_Enemy_Spawn_01.uasset","/Game/TopDownShooter/Ressources/Audio","0,225"
"/Game/TopDownShooter/Ressources/Audio/A_Enemy_Spawn_02.","A_Enemy_Spawn_02.uasset","/Game/TopDownShooter/Ressources/Audio","0,222"
"/Game/TopDownShooter/Ressources/Audio/A_Enemy_Spawn_03.","A_Enemy_Spawn_03.uasset","/Game/TopDownShooter/Ressources/Audio","0,222"
"/Game/TopDownShooter/Ressources/Audio/A_EnemyDeath_Cue.","A_EnemyDeath_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,008"
"/Game/TopDownShooter/Ressources/Audio/A_EnemySpawn_Cue.","A_EnemySpawn_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,009"
"/Game/TopDownShooter/Ressources/Audio/A_FireProjectile_Cue.","A_FireProjectile_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,01"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Dead.","A_Hero_Dead.uasset","/Game/TopDownShooter/Ressources/Audio","0,21"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Hit_01.","A_Hero_Hit_01.uasset","/Game/TopDownShooter/Ressources/Audio","0,162"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Hit_02.","A_Hero_Hit_02.uasset","/Game/TopDownShooter/Ressources/Audio","0,16"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Hit_03.","A_Hero_Hit_03.uasset","/Game/TopDownShooter/Ressources/Audio","0,161"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Hit_04.","A_Hero_Hit_04.uasset","/Game/TopDownShooter/Ressources/Audio","0,16"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Respawn_01.","A_Hero_Respawn_01.uasset","/Game/TopDownShooter/Ressources/Audio","0,34"
"/Game/TopDownShooter/Ressources/Audio/A_Hero_Respawn_02.","A_Hero_Respawn_02.uasset","/Game/TopDownShooter/Ressources/Audio","0,278"
"/Game/TopDownShooter/Ressources/Audio/A_InGame_BG_Music.","A_InGame_BG_Music.uasset","/Game/TopDownShooter/Ressources/Audio","16,39"
"/Game/TopDownShooter/Ressources/Audio/A_InGame_BG_Music_Cue.","A_InGame_BG_Music_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,005"
"/Game/TopDownShooter/Ressources/Audio/A_Player_Hit_CS.","A_Player_Hit_CS.uasset","/Game/TopDownShooter/Ressources/Audio","0,002"
"/Game/TopDownShooter/Ressources/Audio/A_Player_Hit_Cue.","A_Player_Hit_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,01"
"/Game/TopDownShooter/Ressources/Audio/A_Player_Respawn_Cue.","A_Player_Respawn_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,008"
"/Game/TopDownShooter/Ressources/Audio/A_Projectile_Hit.","A_Projectile_Hit.uasset","/Game/TopDownShooter/Ressources/Audio","0,195"
"/Game/TopDownShooter/Ressources/Audio/A_Projectile_Spawn_01.","A_Projectile_Spawn_01.uasset","/Game/TopDownShooter/Ressources/Audio","0,697"
"/Game/TopDownShooter/Ressources/Audio/A_Projectile_Spawn_02.","A_Projectile_Spawn_02.uasset","/Game/TopDownShooter/Ressources/Audio","0,698"
"/Game/TopDownShooter/Ressources/Audio/A_Projectile_Spawn_03.","A_Projectile_Spawn_03.uasset","/Game/TopDownShooter/Ressources/Audio","0,491"
"/Game/TopDownShooter/Ressources/Audio/A_ProjectileImpact_Cue.","A_ProjectileImpact_Cue.uasset","/Game/TopDownShooter/Ressources/Audio","0,005"
"/Game/TopDownShooter/Ressources/Audio/ATT_InGameMusic.","ATT_InGameMusic.uasset","/Game/TopDownShooter/Ressources/Audio","0,002"
"/Game/TopDownShooter/Ressources/Audio/SC_Music.","SC_Music.uasset","/Game/TopDownShooter/Ressources/Audio","0,001"
"/Game/TopDownShooter/Ressources/Audio/SC_SoundEffect.","SC_SoundEffect.uasset","/Game/TopDownShooter/Ressources/Audio","0,001"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Character_Dead.","A_Character_Dead.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,545"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Enemy_Idle.","A_Enemy_Idle.uasset","/Game/TopDownShooter/Ressources/Character/Animations","1,336"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Enemy_Walk_Bwd.","A_Enemy_Walk_Bwd.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,5"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Enemy_Walk_Fwd.","A_Enemy_Walk_Fwd.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,428"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Enemy_Walk_Left.","A_Enemy_Walk_Left.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,325"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Enemy_Walk_Right.","A_Enemy_Walk_Right.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,488"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Hero_Idle.","A_Hero_Idle.uasset","/Game/TopDownShooter/Ressources/Character/Animations","1,546"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Hero_Walk_Bwd.","A_Hero_Walk_Bwd.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,463"
"/Game/TopDownShooter/Ressources/Character/Animations/A_Hero_Walk_Fwd.","A_Hero_Walk_Fwd.uasset","/Game/TopDownShooter/Ressources/Character/Animations","0,438"
