pack,asset_name,asset_class,package_name,package_path,object_path
Street_Props_Pack_V1,Preview_BuiltData,MapBuildDataRegistry,/Game/Street_Props_Pack_V1/Maps/Preview_BuiltData,/Game/Street_Props_Pack_V1/Maps,/Game/Street_Props_Pack_V1/Maps/Preview_BuiltData.Preview_BuiltData
Street_Props_Pack_V1,M_Color_1,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_1,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_1.M_Color_1
Street_Props_Pack_V1,M_Color_2,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_2,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_2.M_Color_2
Street_Props_Pack_V1,M_Color_3,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_3,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_3.M_Color_3
Street_Props_Pack_V1,M_Color_4,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_4,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_4.M_Color_4
Street_Props_Pack_V1,M_Color_5,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_5,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_5.M_Color_5
Street_Props_Pack_V1,M_Color_6,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_6,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_6.M_Color_6
Street_Props_Pack_V1,M_Color_7,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_7,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_7.M_Color_7
Street_Props_Pack_V1,M_Color_8,Material,/Game/Street_Props_Pack_V1/Materials/M_Color_8,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Color_8.M_Color_8
Street_Props_Pack_V1,M_Concrete_1,Material,/Game/Street_Props_Pack_V1/Materials/M_Concrete_1,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Concrete_1.M_Concrete_1
Street_Props_Pack_V1,M_Concrete_2,Material,/Game/Street_Props_Pack_V1/Materials/M_Concrete_2,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Concrete_2.M_Concrete_2
Street_Props_Pack_V1,M_Concrete_3,Material,/Game/Street_Props_Pack_V1/Materials/M_Concrete_3,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Concrete_3.M_Concrete_3
Street_Props_Pack_V1,M_Dirt,Material,/Game/Street_Props_Pack_V1/Materials/M_Dirt,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Dirt.M_Dirt
Street_Props_Pack_V1,M_Glass,Material,/Game/Street_Props_Pack_V1/Materials/M_Glass,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Glass.M_Glass
Street_Props_Pack_V1,M_light,Material,/Game/Street_Props_Pack_V1/Materials/M_light,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_light.M_light
Street_Props_Pack_V1,M_Metal_1,Material,/Game/Street_Props_Pack_V1/Materials/M_Metal_1,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Metal_1.M_Metal_1
Street_Props_Pack_V1,M_Metal_2,Material,/Game/Street_Props_Pack_V1/Materials/M_Metal_2,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Metal_2.M_Metal_2
Street_Props_Pack_V1,M_Metal_3,Material,/Game/Street_Props_Pack_V1/Materials/M_Metal_3,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Metal_3.M_Metal_3
Street_Props_Pack_V1,M_Plastic_1,Material,/Game/Street_Props_Pack_V1/Materials/M_Plastic_1,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Plastic_1.M_Plastic_1
Street_Props_Pack_V1,M_Sign_1,Material,/Game/Street_Props_Pack_V1/Materials/M_Sign_1,/Game/Street_Props_Pack_V1/Materials,/Game/Street_Props_Pack_V1/Materials/M_Sign_1.M_Sign_1
