pack,asset_name,asset_class,package_name,package_path,object_path
AsphaltMat,MM_AsphaltMat,Material,/Game/AsphaltMat/Materials/MM/MM_AsphaltMat,/Game/AsphaltMat/Materials/MM,/Game/AsphaltMat/Materials/MM/MM_AsphaltMat.MM_AsphaltMat
AsphaltMat,MI_AsphaltMat_Inst1,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst1,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst1.MI_AsphaltMat_Inst1
AsphaltMat,MI_AsphaltMat_Inst10,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst10,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst10.MI_AsphaltMat_Inst10
AsphaltMat,MI_AsphaltMat_Inst2,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst2,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst2.MI_AsphaltMat_Inst2
AsphaltMat,MI_AsphaltMat_Inst3,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst3,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst3.MI_AsphaltMat_Inst3
AsphaltMat,MI_AsphaltMat_Inst4,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst4,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst4.MI_AsphaltMat_Inst4
AsphaltMat,MI_AsphaltMat_Inst5,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst5,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst5.MI_AsphaltMat_Inst5
AsphaltMat,MI_AsphaltMat_Inst6,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst6,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst6.MI_AsphaltMat_Inst6
AsphaltMat,MI_AsphaltMat_Inst7,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst7,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst7.MI_AsphaltMat_Inst7
AsphaltMat,MI_AsphaltMat_Inst8,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst8,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst8.MI_AsphaltMat_Inst8
AsphaltMat,MI_AsphaltMat_Inst9,MaterialInstanceConstant,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst9,/Game/AsphaltMat/Materials,/Game/AsphaltMat/Materials/MI_AsphaltMat_Inst9.MI_AsphaltMat_Inst9
AsphaltMat,T_AsphaltMat10_basecolor,Texture2D,/Game/AsphaltMat/Textures/T_AsphaltMat10_basecolor,/Game/AsphaltMat/Textures,/Game/AsphaltMat/Textures/T_AsphaltMat10_basecolor.T_AsphaltMat10_basecolor
AsphaltMat,T_AsphaltMat10_height,Texture2D,/Game/AsphaltMat/Textures/T_AsphaltMat10_height,/Game/AsphaltMat/Textures,/Game/AsphaltMat/Textures/T_AsphaltMat10_height.T_AsphaltMat10_height
AsphaltMat,T_AsphaltMat10_normal,Texture2D,/Game/AsphaltMat/Textures/T_AsphaltMat10_normal,/Game/AsphaltMat/Textures,/Game/AsphaltMat/Textures/T_AsphaltMat10_normal.T_AsphaltMat10_normal
AsphaltMat,T_AsphaltMat10_roughness,Texture2D,/Game/AsphaltMat/Textures/T_AsphaltMat10_roughness,/Game/AsphaltMat/Textures,/Game/AsphaltMat/Textures/T_AsphaltMat10_roughness.T_AsphaltMat10_roughness
AsphaltMat,T_AsphaltMat1_basecolor,Texture2D,/Game/AsphaltMat/Textures/T_AsphaltMat1_basecolor,/Game/AsphaltMat/Textures,/Game/AsphaltMat/Textures/T_AsphaltMat1_basecolor.T_AsphaltMat1_basecolor
AsphaltMat,T_AsphaltMat1_height,Texture2D,/Game/AsphaltMat/Textures/T_AsphaltMat1_height,/Game/AsphaltMat/Textures,/Game/AsphaltMat/Textures/T_AsphaltMat1_height.T_AsphaltMat1_height
