mount_point,asset_name,asset_class,package_name,package_path,object_path
/Fab,BP_GlobalFoliageActor_UE5,Blueprint,/Fab/Actors/GlobalFoliageActor/BP_GlobalFoliageActor_UE5,/Fab/Actors/GlobalFoliageActor,/Fab/Actors/GlobalFoliageActor/BP_GlobalFoliageActor_UE5.BP_GlobalFoliageActor_UE5
/Fab,Icon_Arrow,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow.Icon_Arrow
/Fab,Icon_Arrow_Test,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow_Test,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow_Test.Icon_Arrow_Test
/Fab,Icon_Base,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Base,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Base.Icon_Base
/Fab,Icon_Sock,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Sock,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Sock.Icon_Sock
/Fab,MA_UI_Element,Material,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element,/Fab/Actors/GlobalFoliageActor/Materials,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element.MA_UI_Element
/Fab,MA_UI_Element_Inst,MaterialInstanceConstant,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst,/Fab/Actors/GlobalFoliageActor/Materials,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst.MA_UI_Element_Inst
/Fab,FabEos,EosConstants,/Fab/Data/FabEos,/Fab/Data,/Fab/Data/FabEos.FabEos
/Fab,QMF_AdjustTwoSidedBaseColor,MaterialFunction,/Fab/MaterialFunctions/QMF_AdjustTwoSidedBaseColor,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_AdjustTwoSidedBaseColor.QMF_AdjustTwoSidedBaseColor
/Fab,QMF_AdjustTwoSidedNormal,MaterialFunction,/Fab/MaterialFunctions/QMF_AdjustTwoSidedNormal,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_AdjustTwoSidedNormal.QMF_AdjustTwoSidedNormal
/Fab,QMF_AOAdjustments,MaterialFunction,/Fab/MaterialFunctions/QMF_AOAdjustments,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_AOAdjustments.QMF_AOAdjustments
/Fab,QMF_BaseColorAdjustments,MaterialFunction,/Fab/MaterialFunctions/QMF_BaseColorAdjustments,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_BaseColorAdjustments.QMF_BaseColorAdjustments
/Fab,QMF_DistanceBasedGradient,MaterialFunction,/Fab/MaterialFunctions/QMF_DistanceBasedGradient,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_DistanceBasedGradient.QMF_DistanceBasedGradient
/Fab,QMF_DistanceBasedOpacity,MaterialFunction,/Fab/MaterialFunctions/QMF_DistanceBasedOpacity,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_DistanceBasedOpacity.QMF_DistanceBasedOpacity
/Fab,QMF_FabricFuzz,MaterialFunction,/Fab/MaterialFunctions/QMF_FabricFuzz,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_FabricFuzz.QMF_FabricFuzz
/Fab,QMF_FabricMasked,MaterialFunction,/Fab/MaterialFunctions/QMF_FabricMasked,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_FabricMasked.QMF_FabricMasked
/Fab,QMF_FabricSpecular,MaterialFunction,/Fab/MaterialFunctions/QMF_FabricSpecular,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_FabricSpecular.QMF_FabricSpecular
/Fab,QMF_FabricSSAdjustments,MaterialFunction,/Fab/MaterialFunctions/QMF_FabricSSAdjustments,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_FabricSSAdjustments.QMF_FabricSSAdjustments
/Fab,QMF_FrameBlend,MaterialFunction,/Fab/MaterialFunctions/QMF_FrameBlend,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_FrameBlend.QMF_FrameBlend
/Fab,QMF_Fuzz,MaterialFunction,/Fab/MaterialFunctions/QMF_Fuzz,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_Fuzz.QMF_Fuzz
/Fab,QMF_GenerateBranchMask_Plants,MaterialFunction,/Fab/MaterialFunctions/QMF_GenerateBranchMask_Plants,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_GenerateBranchMask_Plants.QMF_GenerateBranchMask_Plants
/Fab,QMF_GenerateTranslucency,MaterialFunction,/Fab/MaterialFunctions/QMF_GenerateTranslucency,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_GenerateTranslucency.QMF_GenerateTranslucency
/Fab,QMF_GenerateTwoSidedSpecular,MaterialFunction,/Fab/MaterialFunctions/QMF_GenerateTwoSidedSpecular,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_GenerateTwoSidedSpecular.QMF_GenerateTwoSidedSpecular
/Fab,QMF_GrowthEffect,MaterialFunction,/Fab/MaterialFunctions/QMF_GrowthEffect,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_GrowthEffect.QMF_GrowthEffect
/Fab,QMF_HealthSeason,MaterialFunction,/Fab/MaterialFunctions/QMF_HealthSeason,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_HealthSeason.QMF_HealthSeason
/Fab,QMF_NormalAdjustments,MaterialFunction,/Fab/MaterialFunctions/QMF_NormalAdjustments,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_NormalAdjustments.QMF_NormalAdjustments
/Fab,QMF_PerInstanceActorRandom,MaterialFunction,/Fab/MaterialFunctions/QMF_PerInstanceActorRandom,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_PerInstanceActorRandom.QMF_PerInstanceActorRandom
/Fab,QMF_Refraction,MaterialFunction,/Fab/MaterialFunctions/QMF_Refraction,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_Refraction.QMF_Refraction
/Fab,QMF_RoughnessAdjustments,MaterialFunction,/Fab/MaterialFunctions/QMF_RoughnessAdjustments,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_RoughnessAdjustments.QMF_RoughnessAdjustments
/Fab,QMF_Tiling,MaterialFunction,/Fab/MaterialFunctions/QMF_Tiling,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_Tiling.QMF_Tiling
/Fab,QMF_Transmission,MaterialFunction,/Fab/MaterialFunctions/QMF_Transmission,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_Transmission.QMF_Transmission
/Fab,QMF_TwoSidedRoughness,MaterialFunction,/Fab/MaterialFunctions/QMF_TwoSidedRoughness,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_TwoSidedRoughness.QMF_TwoSidedRoughness
/Fab,QMF_WindAnimation,MaterialFunction,/Fab/MaterialFunctions/QMF_WindAnimation,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_WindAnimation.QMF_WindAnimation
/Fab,QMF_WindGust,MaterialFunction,/Fab/MaterialFunctions/QMF_WindGust,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_WindGust.QMF_WindGust
/Fab,QMF_WindowImperfection,MaterialFunction,/Fab/MaterialFunctions/QMF_WindowImperfection,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_WindowImperfection.QMF_WindowImperfection
/Fab,QMF_WorldspaceColorVariation,MaterialFunction,/Fab/MaterialFunctions/QMF_WorldspaceColorVariation,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_WorldspaceColorVariation.QMF_WorldspaceColorVariation
/Fab,QMPC_GlobalFoliageActor,MaterialParameterCollection,/Fab/MaterialParameterCollection/QMPC_GlobalFoliageActor,/Fab/MaterialParameterCollection,/Fab/MaterialParameterCollection/QMPC_GlobalFoliageActor.QMPC_GlobalFoliageActor
/Fab,M_MS_Base,Material,/Fab/Materials/Standard/M_MS_Base,/Fab/Materials/Standard,/Fab/Materials/Standard/M_MS_Base.M_MS_Base
