mount_point,asset_name,asset_class,package_name,package_path,object_path,is_redirector,dependencies,tags_json
/Fab,BP_GlobalFoliageActor_UE5,Blueprint,/Fab/Actors/GlobalFoliageActor/BP_GlobalFoliageActor_UE5,/Fab/Actors/GlobalFoliageActor,/Fab/Actors/GlobalFoliageActor/BP_GlobalFoliageActor_UE5.BP_GlobalFoliageActor_UE5,False,/Engine/BasicShapes/BasicShapeMaterial|/Engine/BasicShapes/Sphere|/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow_Test|/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Base|/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Sock|/Fab/MaterialParameterCollection/QMPC_GlobalFoliageActor,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,Icon_Arrow,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow.Icon_Arrow,False,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst|/Script/NavigationSystem,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,Icon_Arrow_Test,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow_Test,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Arrow_Test.Icon_Arrow_Test,False,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst|/Script/NavigationSystem,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,Icon_Base,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Base,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Base.Icon_Base,False,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst|/Script/NavigationSystem,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,Icon_Sock,StaticMesh,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Sock,/Fab/Actors/GlobalFoliageActor/Geometry,/Fab/Actors/GlobalFoliageActor/Geometry/Icon_Sock.Icon_Sock,False,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst|/Script/NavigationSystem,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,MA_UI_Element,Material,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element,/Fab/Actors/GlobalFoliageActor/Materials,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element.MA_UI_Element,False,/Engine/Functions/Engine_MaterialFunctions01/WorldPositionOffset/SimpleGrassWind|/Fab/MaterialParameterCollection/QMPC_GlobalFoliageActor,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,MA_UI_Element_Inst,MaterialInstanceConstant,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst,/Fab/Actors/GlobalFoliageActor/Materials,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element_Inst.MA_UI_Element_Inst,False,/Fab/Actors/GlobalFoliageActor/Materials/MA_UI_Element,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,FabEos,EosConstants,/Fab/Data/FabEos,/Fab/Data,/Fab/Data/FabEos.FabEos,False,/Script/Fab,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,QMF_AdjustTwoSidedBaseColor,MaterialFunction,/Fab/MaterialFunctions/QMF_AdjustTwoSidedBaseColor,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_AdjustTwoSidedBaseColor.QMF_AdjustTwoSidedBaseColor,False,/Engine/Functions/Engine_MaterialFunctions03/Blends/Blend_Overlay|/Fab/MaterialFunctions/QMF_GenerateBranchMask_Plants,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
/Fab,QMF_AdjustTwoSidedNormal,MaterialFunction,/Fab/MaterialFunctions/QMF_AdjustTwoSidedNormal,/Fab/MaterialFunctions,/Fab/MaterialFunctions/QMF_AdjustTwoSidedNormal.QMF_AdjustTwoSidedNormal,False,/Engine/Functions/Engine_MaterialFunctions01/Texturing/FlattenNormal,"{""__audit_error__"": ""'AssetData' object has no attribute 'tags_and_values'""}"
