pack,category,review_state,score,score_reasons,asset_name,asset_class,package_name,package_path,object_path
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L10_A_CornerEx_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerEx_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerEx_01_N1.SM_BLDG_CHA_L10_A_CornerEx_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L10_A_CornerExL_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerExL_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerExL_01_N1.SM_BLDG_CHA_L10_A_CornerExL_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L10_A_CornerExR_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerExR_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerExR_01_N1.SM_BLDG_CHA_L10_A_CornerExR_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L10_A_CornerIn_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerIn_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerIn_01_N1.SM_BLDG_CHA_L10_A_CornerIn_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L10_A_CornerInL_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerInL_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerInL_01_N1.SM_BLDG_CHA_L10_A_CornerInL_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L10_A_CornerInR_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerInR_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L10_A/Mesh/SM_BLDG_CHA_L10_A_CornerInR_01_N1.SM_BLDG_CHA_L10_A_CornerInR_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L11_A_CornerEx_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerEx_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerEx_01_N1.SM_BLDG_CHA_L11_A_CornerEx_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L11_A_CornerExL_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerExL_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerExL_01_N1.SM_BLDG_CHA_L11_A_CornerExL_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L11_A_CornerExR_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerExR_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerExR_01_N1.SM_BLDG_CHA_L11_A_CornerExR_01_N1
CitySampleBuildings,architecture_general,SHORTLISTED,34,keyword:building;keyword:corner;static_mesh;preferred_city_pack;mesh_naming;penalty:sample;normal_path_depth,SM_BLDG_CHA_L11_A_CornerIn_01_N1,StaticMesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerIn_01_N1,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh,/Game/CitySampleBuildings/Building/CH/A/Kit_Bldg_CHA_L11_A/Mesh/SM_BLDG_CHA_L11_A_CornerIn_01_N1.SM_BLDG_CHA_L11_A_CornerIn_01_N1
